cislo_listiny;nazov_strany;kandidati;vs_1_stupen;vs_2_stupen;vs_3_stupen;vek_pod_25;vek_25_35;vek_35_45;vek_45_55;vek_55_65;vek_nad_65;vek_priem;dochodci;zivnostnici;nezamestnani;ba;ke;po;nr;za;bb;tt;mt;tr;pp;pn
1;Slovenská ľudová strana Andreja Hlinku;39;0;15;3;1;2;2;9;17;8;55;3;2;0;3;1;0;1;1;13;0;0;0;1;0
10;Demokratická strana;150;6;77;17;1;20;40;38;33;18;48;10;27;0;35;11;0;4;2;10;2;0;6;0;0
11;OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA;150;6;66;38;6;14;48;46;24;12;46;2;16;0;32;6;3;0;2;1;6;2;2;1;4
12;Koalícia Progresívne Slovensko a SPOLU – občianska demokracia;150;3;80;38;3;37;60;36;12;2;40;0;17;0;50;5;3;1;2;6;4;4;2;1;2
13;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;95;1;20;7;5;27;32;22;9;0;40;1;22;0;12;1;0;0;0;0;0;0;2;0;0
14;99 % - občiansky hlas;33;1;13;6;0;3;8;7;7;8;52;6;4;0;14;2;0;0;0;0;1;0;0;0;0
15;Kresťanskodemokratické hnutie;150;5;67;51;3;18;31;54;37;7;48;2;6;0;19;6;2;2;1;1;3;3;2;4;1
16;Slovenská liga;74;3;24;10;0;7;7;20;20;20;54;16;10;3;26;4;0;1;0;0;0;1;6;0;0
17;VLASŤ;149;7;58;23;6;27;31;37;35;13;46;12;38;4;26;13;1;4;1;2;1;2;2;2;2
18;MOST - HÍD;150;4;72;27;2;17;31;61;37;2;47;6;11;1;8;9;3;0;0;0;0;0;0;0;0
19;SMER - sociálna demokracia;150;5;81;54;1;11;34;41;51;12;50;1;4;0;23;7;2;5;2;7;4;0;3;1;2
2;DOBRÁ VOĽBA;150;6;74;29;3;31;53;31;22;10;44;7;11;0;20;10;1;0;1;1;1;1;2;2;3
20;SOLIDARITA - Hnutie pracujúcej chudoby;80;2;12;5;2;9;18;22;13;16;50;17;8;3;3;2;0;1;1;5;0;0;0;1;0
21;HLAS ĽUDU;17;0;8;2;1;1;6;1;6;2;48;1;2;0;9;0;0;0;0;1;1;0;0;0;0
22;Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť;150;5;67;29;3;34;43;50;18;2;43;1;18;1;3;3;0;2;0;0;0;0;0;0;0
23;Práca slovenského národa;13;0;8;1;0;1;2;3;2;5;57;6;3;0;1;0;0;0;0;0;0;0;3;0;0
24;Kotlebovci - Ľudová strana Naše Slovensko;150;11;56;20;5;27;51;34;18;15;44;8;33;4;18;5;0;4;3;6;3;1;1;0;3
25;Socialisti.sk;150;2;56;16;4;30;43;34;23;16;45;12;27;3;12;9;9;5;9;4;1;3;2;1;1
3;Sloboda a Solidarita;149;6;79;26;7;28;50;40;19;5;42;3;28;1;39;1;3;2;2;4;3;3;3;1;0
4;SME RODINA;150;15;56;23;4;28;64;41;12;1;41;2;29;0;24;7;5;4;4;3;4;1;1;0;1
5;Slovenské Hnutie Obrody;25;1;7;0;1;6;6;7;2;3;45;3;7;0;0;1;0;2;0;0;0;1;0;0;0
6;ZA ĽUDÍ;150;9;79;34;4;34;50;39;20;3;42;3;12;0;27;9;1;8;2;1;2;1;3;3;1
7;MÁME TOHO DOSŤ !;71;4;12;3;4;11;24;22;10;0;43;2;12;4;3;9;1;0;0;1;0;0;0;0;1
8;Hlas pravice;41;1;23;5;3;6;4;21;4;3;45;2;3;0;6;0;4;0;0;0;0;3;0;0;1
9;Slovenská národná strana;150;5;74;42;1;15;32;58;36;8;47;2;12;0;18;1;3;4;1;2;0;4;1;2;0
